OGS2	OGS1	Apyrene	Eupyrene	AE	Uniprot_Function	X	Manduca_Sperm	Dmel_Spermo	Function	Manduca_homolog	Dmel_homologs
DPOGS207193	NA	FALSE	FALSE	TRUE	NA	0.333	Msex2.03421	NA	seminal fluid protein hacp035	NA	FBgn0003137
DPOGS207222	DPOGS119415	FALSE	TRUE	FALSE	Roadblock	0.104	Msex2.07219	NA	roadblock	Msex2.04683	FBgn0024196
DPOGS207236	DPOGS101109	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_01109	NA	NA
DPOGS207263	DPOGS119654	FALSE	TRUE	TRUE	Putative WW domain-binding protein	1	Msex2.06133	NA	ww domain-binding protein	NA	FBgn0036318
DPOGS207276	DPOGS114743	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.01039	NA	hypothetical protein KGM_14743	NA	FBgn0024889
DPOGS207282	DPOGS114750	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA
DPOGS207283	DPOGS114751	FALSE	TRUE	TRUE	Rm62	1	Msex2.01032	NA	Rm62	NA	NA
DPOGS207284	DPOGS114753	FALSE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_14753	Msex2.05569	NA
DPOGS207285	DPOGS114754	FALSE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_14754	Msex2.01031	NA
DPOGS207327	DPOGS100674	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_00674	Msex2.12469	NA
DPOGS207378	NA	FALSE	FALSE	TRUE	NA	NA	NA	NA	PREDICTED: uncharacterized protein LOC101737375	NA	NA
DPOGS207380	DPOGS118475	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.01651	NA	hypothetical protein KGM_18475	NA	NA
DPOGS207382	DPOGS118477	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_18477	Msex2.01647	FBgn0027779
DPOGS207386	DPOGS118481	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.01643	FBgn0030004	hypothetical protein KGM_18481	NA	NA
DPOGS207388	DPOGS118483	FALSE	TRUE	TRUE	Putative tryptase 5	NA	NA	NA	tryptase 5	Msex2.01640	FBgn0038482
DPOGS207396	DPOGS120846	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.01630	NA	hypothetical protein KGM_20846	NA	NA
DPOGS207401	DPOGS107460	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.01447	NA	hypothetical protein KGM_07460	NA	NA
DPOGS207402	DPOGS107461	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.01446	FBgn0031476	hypothetical protein KGM_07461	NA	NA
DPOGS207406	DPOGS113557	FALSE	FALSE	TRUE	Uncharacterized protein	1	Msex2.01437	NA	hypothetical protein KGM_13557	NA	FBgn0266449
DPOGS207418	DPOGS113561	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA
DPOGS207426	DPOGS107463	TRUE	TRUE	FALSE	Uncharacterized protein	1	Msex2.01444	NA	hypothetical protein KGM_07463	NA	NA
DPOGS207441	DPOGS100056	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.08236	FBgn0023143	hypothetical protein KGM_00056	NA	NA
DPOGS207454	DPOGS105263	FALSE	TRUE	TRUE	Ferritin-like protein 1	NA	NA	NA	ferritin-like protein 1	Msex2.10679	FBgn0015222
DPOGS207478	DPOGS105274	TRUE	FALSE	FALSE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_05274	NA	FBgn0266083
DPOGS207515	DPOGS117316	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA
DPOGS207526	DPOGS117326	FALSE	TRUE	TRUE	Putative structural component of insect carboxypeptidase	NA	NA	NA	structural component of insect carboxypeptidase	Msex2.05221	FBgn0035776
DPOGS207528	DPOGS117328	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.05220	NA	hypothetical protein KGM_17328	NA	FBgn0029804
DPOGS207540	DPOGS106243	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.07364	NA	hypothetical protein KGM_06243	NA	NA
DPOGS207542	DPOGS106246	FALSE	TRUE	FALSE	Actin	NA	NA	NA	"actin, partial"	Msex2.07366	FBgn0000044
DPOGS207580	DPOGS102682	FALSE	FALSE	TRUE	Putative dipeptidyl peptidase iii	1	Msex2.06104	NA	dipeptidyl peptidase iii	NA	FBgn0037580
DPOGS207582	DPOGS115024	FALSE	FALSE	TRUE	Uncharacterized protein	NA	NA	FBgn0261532	hypothetical protein KGM_03144	Msex2.06110	NA
DPOGS207595	DPOGS116635	TRUE	TRUE	TRUE	Pre-mRNA-splicing factor ISY1-like protein	NA	NA	NA	pre-mrna-splicing factor isy1-like protein	Msex2.08072	FBgn0037550
DPOGS207628	DPOGS100659	TRUE	TRUE	TRUE	NADH dehydrogenase flavoprotein 1 ubiquinone	1	Msex2.02052	NA	nadh dehydrogenase flavoprotein 1 ubiquinone	NA	FBgn0031771
DPOGS207641	DPOGS110349	TRUE	TRUE	TRUE	Putative cAMP-dependent protein kinase catalytic subunit	NA	NA	NA	camp-dependent protein kinase catalytic subunit alpha-like	Msex2.02045	FBgn0000273
DPOGS207733	DPOGS122223	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_22223	Msex2.02267	NA
DPOGS207750	DPOGS100780	FALSE	TRUE	FALSE	Putative zinc finger protein	NA	NA	NA	zinc finger protein	Msex2.06618	FBgn0032979
DPOGS207775	DPOGS122219	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.08816	FBgn0030691	hypothetical protein KGM_22219	NA	NA
DPOGS207824	DPOGS110020	TRUE	TRUE	TRUE	"Cytochrome c oxidase subunit 6A, mitochondrial (Cytochrome c oxidase polypeptide VIa)"	1	Msex2.02259	NA	mitochondrial cytochrome c oxidase subunit via	NA	FBgn0034877
DPOGS207829	DPOGS105997	FALSE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_05997	Msex2.02268	NA
DPOGS207830	DPOGS105998	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_05998	Msex2.02268	NA
DPOGS207855	DPOGS122134	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.02301	NA	hypothetical protein KGM_22134	NA	FBgn0033705
DPOGS207874	DPOGS106524	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_06524	Msex2.00471	FBgn0025613
DPOGS207944	DPOGS117466	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.06356	NA	hypothetical protein KGM_17466	NA	NA
DPOGS207945	DPOGS117466	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_17466	Msex2.06356	FBgn0001145
DPOGS207987	DPOGS113405	TRUE	TRUE	TRUE	Cuticular protein RR-1 motif 32	NA	NA	NA	tpa cuticle protein	Msex2.11891	FBgn0050045
DPOGS207993	DPOGS106001	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_06001	NA	NA
DPOGS208018	NA	FALSE	FALSE	TRUE	NA	NA	NA	NA	peritrophin 1	Msex2.00706	FBgn0036203
DPOGS208083	DPOGS108846	FALSE	TRUE	TRUE	ABC transporter family C protein ABCC2	NA	NA	NA	abc transporter family c protein abcc2	Msex2.11131	NA
DPOGS208095	DPOGS101382	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.11301	NA	hypothetical protein KGM_01382	NA	NA
DPOGS208096	DPOGS101382	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_01382	Msex2.11303	NA
DPOGS208097	DPOGS101383	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_01383	Msex2.11304	NA
DPOGS208105	DPOGS101393	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_01393	NA	NA
DPOGS208111	DPOGS105964	TRUE	FALSE	FALSE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_05964	Msex2.01322	FBgn0050085
DPOGS208117	DPOGS108221	TRUE	FALSE	FALSE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_08221	Msex2.01313	FBgn0262579
DPOGS208145	DPOGS121184	TRUE	TRUE	TRUE	Uncharacterized protein	0.5	Msex2.12226	NA	hypothetical protein KGM_21184	NA	FBgn0086691
DPOGS208155	DPOGS120523	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	FBgn0038598	hypothetical protein KGM_20523	Msex2.15480	NA
DPOGS208164	DPOGS121924	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_21924	Msex2.14483	FBgn0051704
DPOGS208170	DPOGS100278	FALSE	TRUE	TRUE	Putative soluble adenylyl cyclase	NA	NA	NA	soluble adenylyl cyclase	Msex2.03772	FBgn0261436
DPOGS208175	DPOGS116940	TRUE	TRUE	TRUE	Dynein molecular motor protein light chain 1	1	Msex2.03780	NA	dynein molecular motor protein light chain 1	NA	FBgn0024432
DPOGS208185	DPOGS100282	TRUE	TRUE	TRUE	Putative succinyl-CoA synthetase small subunit	1	Msex2.03776	NA	succinyl- synthetase small subunit	NA	FBgn0004888
DPOGS208210	DPOGS106106	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_06106	Msex2.13581	NA
DPOGS208303	DPOGS107262	FALSE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_07262	Msex2.00836	NA
DPOGS208350	DPOGS121876	FALSE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_21876	NA	NA
DPOGS208359	DPOGS109505	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA
DPOGS208360	DPOGS121878	FALSE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_21878	Msex2.13435	NA
DPOGS208370	DPOGS103912	TRUE	TRUE	TRUE	Putative succinate dehydrogenase	1	Msex2.01421	NA	succinate dehydrogenase	NA	FBgn0037873
DPOGS208377	DPOGS103921	TRUE	TRUE	TRUE	Glutamate dehydrogenase	0.333	Msex2.09227	FBgn0039071	glutamate dehydrogenase	NA	FBgn0001098
DPOGS208385	DPOGS110629	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.01405	NA	hypothetical protein KGM_10629	NA	NA
DPOGS208416	DPOGS110254	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_10254	Msex2.07527	NA
DPOGS208439	DPOGS119049	FALSE	FALSE	TRUE	Uncharacterized protein	1	Msex2.04432	NA	unknown secreted protein	NA	FBgn0033872
DPOGS208460	DPOGS116551	TRUE	TRUE	FALSE	Cadherin-like protein	NA	NA	FBgn0001075	cadherin-like protein	Msex2.07855	NA
DPOGS208521	DPOGS113380	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.00420	NA	hypothetical protein KGM_13380	NA	NA
DPOGS208556	DPOGS115744	TRUE	FALSE	FALSE	Uncharacterized protein	NA	NA	FBgn0027505	hypothetical protein KGM_15744	Msex2.14440	NA
DPOGS208560	DPOGS108715	TRUE	TRUE	FALSE	Putative hect E3 ubiquitin ligase	NA	NA	NA	hect e3 ubiquitin ligase	Msex2.09054	FBgn0032208
DPOGS208563	DPOGS105907	FALSE	TRUE	FALSE	Uncharacterized protein	1	Msex2.09047	NA	hypothetical protein KGM_05907	NA	NA
DPOGS208593	DPOGS100314	FALSE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_00314	NA	FBgn0053978
DPOGS208602	DPOGS111953	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_11953	Msex2.10807	FBgn0051954
DPOGS208612	DPOGS100313	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_00312	Msex2.12322	FBgn0261788
DPOGS208650	DPOGS119304	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.09793	FBgn0037643	hypothetical protein KGM_19304	NA	NA
DPOGS208656	DPOGS119310	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.09783	NA	hypothetical protein KGM_19310	NA	FBgn0034487
DPOGS208663	DPOGS119555	FALSE	TRUE	FALSE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_19555	NA	NA
DPOGS208675	DPOGS112890	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_12890	Msex2.04088	NA
DPOGS208713	DPOGS120864	FALSE	TRUE	TRUE	Putative ATP-dependent bile acid permease	NA	NA	NA	atp-dependent bile acid permease	Msex2.08194	FBgn0032026
DPOGS208719	DPOGS104470	FALSE	TRUE	TRUE	C-type lectin 17	NA	NA	NA	c-type lectin 17	Msex2.08206	FBgn0039741
DPOGS208750	DPOGS105295	TRUE	TRUE	TRUE	Ribosomal protein L1	1	Msex2.04108	NA	ribosomal protein l1	NA	FBgn0036213
DPOGS208752	DPOGS111404	TRUE	FALSE	FALSE	Uncharacterized protein	NA	NA	FBgn0038016	hypothetical protein KGM_11404	Msex2.04103	NA
DPOGS208773	DPOGS122176	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.10248	NA	hypothetical protein KGM_22176	NA	FBgn0039799
DPOGS208777	DPOGS117687	FALSE	FALSE	TRUE	NA	NA	NA	NA	hypothetical protein KGM_04810	Msex2.10255	FBgn0040068
DPOGS208793	DPOGS100929	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_00929	Msex2.04864	NA
DPOGS208803	DPOGS105647	FALSE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_05647	NA	NA
DPOGS208804	DPOGS105648	FALSE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_05648	Msex2.04875	NA
DPOGS208810	DPOGS105652	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.04888	FBgn0033610	hypothetical protein KGM_05652	NA	NA
DPOGS208811	DPOGS105885	FALSE	TRUE	FALSE	Uncharacterized protein	NA	NA	NA	probable elongator complex protein 3-like	NA	FBgn0031604
DPOGS208819	DPOGS103569	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.04871	NA	hypothetical protein KGM_03569	NA	NA
DPOGS208874	DPOGS115093	FALSE	FALSE	TRUE	Pyruvate kinase	NA	NA	NA	pyruvate kinase	Msex2.00631	FBgn0031462
DPOGS208875	DPOGS115094	FALSE	FALSE	TRUE	Pyruvate kinase (EC 2.7.1.40)	NA	NA	NA	pyruvate kinase	NA	FBgn0003178
DPOGS208876	DPOGS115095	FALSE	TRUE	TRUE	Pyruvate kinase (EC 2.7.1.40)	NA	NA	NA	pyruvate kinase	Msex2.00630	FBgn0003178
DPOGS208881	DPOGS120928	TRUE	TRUE	TRUE	DnaJ-like protein 2	1	Msex2.00685	NA	DnaJ	NA	FBgn0038145
DPOGS208883	NA	TRUE	TRUE	TRUE	NA	1	Msex2.00684	NA	glycerol-3-phosphate partial	NA	FBgn0001128
DPOGS208922	DPOGS114787	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_14787	NA	NA
DPOGS208927	DPOGS114792	TRUE	FALSE	FALSE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_14791	Msex2.08650	FBgn0023518
DPOGS208934	DPOGS114797	FALSE	TRUE	FALSE	GTP-binding protein sar1	NA	NA	NA	gtp-binding protein sar1	Msex2.08649	FBgn0038947
DPOGS208941	DPOGS114805	FALSE	TRUE	TRUE	2-oxoglutarate dehydrogenase	0.146	Msex2.04496	FBgn0010352	2-oxoglutarate dehydrogenase	NA	NA
DPOGS208946	DPOGS114812	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.09315	NA	hypothetical protein KGM_14812	NA	FBgn0036726
DPOGS208949	DPOGS115053	FALSE	FALSE	TRUE	Putative Tubby	NA	NA	NA	putative Tubby	Msex2.09319	FBgn0039530
DPOGS208988	DPOGS120806	FALSE	TRUE	FALSE	Uncharacterized protein	1	Msex2.00643	NA	hypothetical protein KGM_20806	NA	NA
DPOGS209002	DPOGS122583	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_22583	NA	NA
DPOGS209009	DPOGS113763	TRUE	TRUE	TRUE	ATP synthase subunit beta (EC 3.6.3.14)	0.6	Msex2.05734	FBgn0010217	h+ transporting atp synthase beta subunit isoform 2	Msex2.00696	NA
DPOGS209027	DPOGS121116	FALSE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_21115	Msex2.03233	FBgn0038693
DPOGS209079	DPOGS118550	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.08184	FBgn0035581	hypothetical protein KGM_18550	NA	NA
DPOGS209112	DPOGS122382	TRUE	TRUE	TRUE	Putative Artemis protein	NA	NA	NA	artemis protein	Msex2.13560	FBgn0037338
DPOGS209118	DPOGS103742	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_03742	Msex2.13916	NA
DPOGS209134	DPOGS114261	FALSE	TRUE	TRUE	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	1	Msex2.00386	FBgn0003462	superoxide dismutase	NA	NA
DPOGS209136	DPOGS103341	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.00391	NA	hypothetical protein KGM_03341	NA	FBgn0003884
DPOGS209137	DPOGS103343	TRUE	TRUE	TRUE	Putative Cytosol aminopeptidase	0.2	Msex2.00393	FBgn0052064	cytosol aminopeptidase	NA	FBgn0033868
DPOGS209162	DPOGS102724	FALSE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	cytosolic purine 5 -nucleotidase-like isoform x3	Msex2.05623	FBgn0052549
DPOGS209294	DPOGS117207	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_17207	Msex2.04003	FBgn0029813
DPOGS209305	DPOGS100347	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.13050	FBgn0039104	hypothetical protein KGM_00347	NA	NA
DPOGS209345	DPOGS118855	TRUE	TRUE	TRUE	Phosphate transport protein	NA	NA	NA	phosphate transport protein	NA	FBgn0026409
DPOGS209357	DPOGS112791	FALSE	TRUE	FALSE	Putative tuberous sclerosis 2 isoform 3	NA	NA	NA	tuberous sclerosis 2 isoform 3	Msex2.09700	FBgn0005198
DPOGS209405	DPOGS103368	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_03178	NA	NA
DPOGS209406	DPOGS103368	FALSE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_03368	Msex2.04775	NA
DPOGS209449	DPOGS116085	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.11389	NA	wd repeat-containing protein on y chromosome-like	NA	FBgn0085498
DPOGS209457	DPOGS116093	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA
DPOGS209573	DPOGS100402	FALSE	FALSE	TRUE	Putative axonemal dynein intermediate chain inner arm i1	NA	NA	NA	axonemal dynein intermediate chain inner arm i1	NA	FBgn0035256
DPOGS209581	DPOGS100412	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.12016	NA	hypothetical protein KGM_00412	NA	NA
DPOGS209582	DPOGS100413	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_00413	NA	NA
DPOGS209599	DPOGS109872	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_09872	Msex2.13047	FBgn0031596
DPOGS209637	DPOGS100381	TRUE	TRUE	TRUE	Glutamine synthetase	NA	NA	NA	glutamine synthetase	Msex2.05053	FBgn0001142
DPOGS209638	DPOGS100382	TRUE	TRUE	TRUE	Uncharacterized protein	0.333	Msex2.05052	NA	glutamine synthetase mitochondrial-like	NA	FBgn0001142
DPOGS209641	NA	FALSE	TRUE	FALSE	NA	1	Msex2.05047	NA	PREDICTED: uncharacterized protein LOC101742028	NA	NA
DPOGS209648	DPOGS100392	TRUE	TRUE	TRUE	Armc4	1	Msex2.05036	FBgn0031905	armc4	NA	NA
DPOGS209668	DPOGS101280	FALSE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_01280	Msex2.04795	NA
DPOGS209670	DPOGS101282	TRUE	TRUE	TRUE	Catalase (EC 1.11.1.6)	NA	NA	FBgn0000261	catalase	Msex2.03412	NA
DPOGS209680	DPOGS112088	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA
DPOGS209688	DPOGS101293	TRUE	FALSE	FALSE	Uncharacterized protein	NA	NA	FBgn0023213	hypothetical protein KGM_01293	Msex2.04794	NA
DPOGS209706	DPOGS121325	FALSE	TRUE	TRUE	Putative malate dehydrogenase	NA	NA	NA	malate dehydrogenase	Msex2.02574	FBgn0262559
DPOGS209741	DPOGS122196	TRUE	TRUE	TRUE	Putative voltage-dependent anion-selective channel isoform 1	1	Msex2.06044	FBgn0004363	voltage-dependent anion-selective channel-like isoform x1	NA	NA
DPOGS209745	DPOGS122201	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA
DPOGS209750	DPOGS119896	FALSE	TRUE	TRUE	Pyridoxine 5'-phosphate oxidase	NA	NA	NA	pyridoxine 5 -phosphate oxidase	Msex2.00141	FBgn0051472
DPOGS209756	DPOGS119902	FALSE	TRUE	TRUE	Cuticular protein hypothetical 5	NA	NA	NA	cuticular protein hypothetical 5	Msex2.02299	FBgn0050259
DPOGS209764	DPOGS119908	FALSE	TRUE	TRUE	Putative malate dehydrogenase	NA	NA	NA	malate dehydrogenase	NA	FBgn0262559
DPOGS209778	DPOGS114306	FALSE	FALSE	TRUE	Light-induced protein-like brain protein 44	1	Msex2.09872	NA	light-induced brain protein 44	NA	FBgn0037715
DPOGS209786	DPOGS101343	FALSE	TRUE	TRUE	V-type proton ATPase subunit F	NA	NA	NA	v-type proton atpase subunit f	Msex2.05170	FBgn0262512
DPOGS209787	DPOGS101344	TRUE	FALSE	FALSE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_01344	Msex2.05167	FBgn0036522
DPOGS209804	DPOGS107980	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_07980	NA	NA
DPOGS209817	DPOGS107977	FALSE	FALSE	TRUE	Putative major antigen	1	Msex2.10583	NA	major antigen	NA	FBgn0027843
DPOGS209841	DPOGS101336	FALSE	TRUE	FALSE	Uncharacterized protein	1	Msex2.05163	NA	aminopeptidase n-like precursor	NA	FBgn0038926
DPOGS209915	DPOGS119933	TRUE	TRUE	TRUE	Uncharacterized protein	0.333	Msex2.02721	NA	hypothetical protein KGM_19933	NA	FBgn0034467
DPOGS209940	DPOGS120866	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA
DPOGS209956	DPOGS105847	FALSE	TRUE	FALSE	Ubiquitin-40S ribosomal protein S27a	NA	NA	NA	hypothetical protein AND_009492	Msex2.15521	FBgn0025366
DPOGS209980	DPOGS105867	TRUE	TRUE	FALSE	Methionine-rich storage protein	NA	NA	NA	methionine-rich storage protein	Msex2.10735	NA
DPOGS209988	DPOGS105875	TRUE	FALSE	FALSE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_05875	Msex2.10741	FBgn0037344
DPOGS210008	DPOGS116060	FALSE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_16060	Msex2.08464	FBgn0264294
DPOGS210035	DPOGS113043	TRUE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_13043	Msex2.12737	NA
DPOGS210044	DPOGS120294	FALSE	FALSE	TRUE	Alpha amylase	NA	NA	NA	alpha amylase	Msex2.09215	FBgn0032382
DPOGS210074	DPOGS113724	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_13724	Msex2.13840	NA
DPOGS210077	DPOGS108518	FALSE	TRUE	TRUE	Putative ATP-binding cassette sub-family B member 7	1	Msex2.11947	NA	atp-binding cassette sub-family b member 7	NA	FBgn0035244
DPOGS210124	DPOGS113034	FALSE	TRUE	FALSE	Calcyphosphine isoform 1	NA	NA	NA	calcyphosphine isoform 1	Msex2.12734	FBgn0038088
DPOGS210140	DPOGS120598	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_02133	Msex2.00253	FBgn0263120
DPOGS210146	DPOGS107027	FALSE	TRUE	TRUE	Serine protease 48	1	Msex2.02853	NA	serine protease 48	NA	FBgn0040060
DPOGS210185	DPOGS122057	TRUE	TRUE	TRUE	Putative coiled-coil domain-containing protein 113	NA	NA	NA	coiled-coil domain-containing protein 113-like	NA	FBgn0031235
DPOGS210201	DPOGS114837	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_14837	Msex2.02157	FBgn0035082
DPOGS210250	DPOGS114925	TRUE	TRUE	TRUE	Heat shock 70 kDa protein cognate 4	0.6	Msex2.07584	NA	hypothetical protein TcasGA2_TC002089	NA	FBgn0266599
DPOGS210282	DPOGS108358	FALSE	TRUE	TRUE	Fumarylacetoacetase	0.2	Msex2.13593	NA	fumarylacetoacetate hydrolase isoform b	Msex2.06170	FBgn0038924
DPOGS210288	DPOGS109948	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_09948	NA	NA
DPOGS210289	DPOGS113109	TRUE	TRUE	TRUE	Uncharacterized protein	0.146	Msex2.09827	FBgn0046323	hypothetical protein KGM_13109	NA	NA
DPOGS210344	DPOGS112959	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	FBgn0261260	low-density lipoprotein receptor-related protein 2-like	Msex2.07635	NA
DPOGS210345	DPOGS112960	FALSE	FALSE	TRUE	Putative alanine aminotransferase	NA	NA	NA	alanine aminotransferase	Msex2.07639	FBgn0030478
DPOGS210346	DPOGS112960	TRUE	TRUE	TRUE	Putative alanine aminotransferase	NA	NA	NA	alanine aminotransferase	NA	NA
DPOGS210353	DPOGS112954	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.07640	NA	hypothetical protein KGM_12954	NA	NA
DPOGS210385	DPOGS101822	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA
DPOGS210389	DPOGS115242	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_15242	Msex2.15229	NA
DPOGS210434	DPOGS122392	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA
DPOGS210435	DPOGS107824	TRUE	TRUE	TRUE	ATP synthase subunit alpha	1	Msex2.08530	FBgn0011211	atp synthase	NA	NA
DPOGS210452	DPOGS107694	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.08723	FBgn0013813	low quality protein: dynein heavy chain axonemal-like	NA	NA
DPOGS210459	DPOGS107829	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.08734	NA	hypothetical protein KGM_07828	NA	NA
DPOGS210522	DPOGS114394	FALSE	TRUE	FALSE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_14394	Msex2.05774	FBgn0036254
DPOGS210536	NA	FALSE	TRUE	FALSE	NA	NA	NA	NA	tctex1 domain-containing protein 1-a-like	NA	FBgn0033243
DPOGS210547	DPOGS100158	FALSE	TRUE	TRUE	Putative choline o-acyltransferase	NA	NA	NA	choline o-acyltransferase	Msex2.04244	NA
